popName	popUId	sampleUId	2N	locusSymbol	siteName	alleleSymbol	entryDate	frequency
Germans	PO000135J	SA001321H	298	D18S849	D18S849 tetranucleotide STR	17	2005-04-18	0.2
Germans	PO000135J	SA001321H	298	D18S849	D18S849 tetranucleotide STR	19	2005-04-18	0.02
Germans	PO000135J	SA001321H	298	D18S849	D18S849 tetranucleotide STR	18	2005-04-18	0.13
Germans	PO000135J	SA001321H	298	D18S849	D18S849 tetranucleotide STR	16	2005-04-18	0.39
Germans	PO000135J	SA001321H	298	D18S849	D18S849 tetranucleotide STR	15	2005-04-18	0.18
Germans	PO000135J	SA001321H	298	D18S849	D18S849 tetranucleotide STR	14	2005-04-18	0.09
Koreans	PO000030D	SA001039N	454	D18S849	D18S849 tetranucleotide STR	15	2005-04-14	0.42
Koreans	PO000030D	SA001039N	454	D18S849	D18S849 tetranucleotide STR	19	2005-04-14	0.02
Koreans	PO000030D	SA001039N	454	D18S849	D18S849 tetranucleotide STR	20	2005-04-14	0.0
Koreans	PO000030D	SA001039N	454	D18S849	D18S849 tetranucleotide STR	13	2005-04-14	0.01
Koreans	PO000030D	SA001039N	454	D18S849	D18S849 tetranucleotide STR	16	2005-04-14	0.28
Koreans	PO000030D	SA001039N	454	D18S849	D18S849 tetranucleotide STR	17	2005-04-14	0.14
Koreans	PO000030D	SA001039N	454	D18S849	D18S849 tetranucleotide STR	18	2005-04-14	0.06
Koreans	PO000030D	SA001039N	454	D18S849	D18S849 tetranucleotide STR	14	2005-04-14	0.08
