popName	popUId	sampleUId	2N	locusSymbol	siteName	alleleSymbol	entryDate	frequency
Fleming	PO000455O	SA001322I	1196	D12S1090	D12S1090 hypervariable STR	25	2005-04-18	0.07
Fleming	PO000455O	SA001322I	1196	D12S1090	D12S1090 hypervariable STR	13	2005-04-18	0.02
Fleming	PO000455O	SA001322I	1196	D12S1090	D12S1090 hypervariable STR	12	2005-04-18	0.05
Fleming	PO000455O	SA001322I	1196	D12S1090	D12S1090 hypervariable STR	30	2005-04-18	0.0
Fleming	PO000455O	SA001322I	1196	D12S1090	D12S1090 hypervariable STR	28	2005-04-18	0.01
Fleming	PO000455O	SA001322I	1196	D12S1090	D12S1090 hypervariable STR	24	2005-04-18	0.1
Fleming	PO000455O	SA001322I	1196	D12S1090	D12S1090 hypervariable STR	17	2005-04-18	0.01
Fleming	PO000455O	SA001322I	1196	D12S1090	D12S1090 hypervariable STR	26	2005-04-18	0.08
Fleming	PO000455O	SA001322I	1196	D12S1090	D12S1090 hypervariable STR	23	2005-04-18	0.1
Fleming	PO000455O	SA001322I	1196	D12S1090	D12S1090 hypervariable STR	19	2005-04-18	0.07
Fleming	PO000455O	SA001322I	1196	D12S1090	D12S1090 hypervariable STR	9	2005-04-18	0.0
Fleming	PO000455O	SA001322I	1196	D12S1090	D12S1090 hypervariable STR	29	2005-04-18	0.01
Fleming	PO000455O	SA001322I	1196	D12S1090	D12S1090 hypervariable STR	27	2005-04-18	0.06
Fleming	PO000455O	SA001322I	1196	D12S1090	D12S1090 hypervariable STR	21	2005-04-18	0.09
Fleming	PO000455O	SA001322I	1196	D12S1090	D12S1090 hypervariable STR	15	2005-04-18	0.01
Fleming	PO000455O	SA001322I	1196	D12S1090	D12S1090 hypervariable STR	14	2005-04-18	0.02
Fleming	PO000455O	SA001322I	1196	D12S1090	D12S1090 hypervariable STR	22	2005-04-18	0.11
Fleming	PO000455O	SA001322I	1196	D12S1090	D12S1090 hypervariable STR	18	2005-04-18	0.02
Fleming	PO000455O	SA001322I	1196	D12S1090	D12S1090 hypervariable STR	16	2005-04-18	0.01
Fleming	PO000455O	SA001322I	1196	D12S1090	D12S1090 hypervariable STR	11	2005-04-18	0.04
Fleming	PO000455O	SA001322I	1196	D12S1090	D12S1090 hypervariable STR	10	2005-04-18	0.01
Fleming	PO000455O	SA001322I	1196	D12S1090	D12S1090 hypervariable STR	20	2005-04-18	0.11
Koreans	PO000030D	SA001039N	442	D12S1090	D12S1090 hypervariable STR	20	2005-04-14	0.0
Koreans	PO000030D	SA001039N	442	D12S1090	D12S1090 hypervariable STR	25	2005-04-14	0.13
Koreans	PO000030D	SA001039N	442	D12S1090	D12S1090 hypervariable STR	28	2005-04-14	0.03
Koreans	PO000030D	SA001039N	442	D12S1090	D12S1090 hypervariable STR	19	2005-04-14	0.0
Koreans	PO000030D	SA001039N	442	D12S1090	D12S1090 hypervariable STR	29	2005-04-14	0.03
Koreans	PO000030D	SA001039N	442	D12S1090	D12S1090 hypervariable STR	21	2005-04-14	0.02
Koreans	PO000030D	SA001039N	442	D12S1090	D12S1090 hypervariable STR	31	2005-04-14	0.0
Koreans	PO000030D	SA001039N	442	D12S1090	D12S1090 hypervariable STR	12	2005-04-14	0.09
Koreans	PO000030D	SA001039N	442	D12S1090	D12S1090 hypervariable STR	32	2005-04-14	0.0
Koreans	PO000030D	SA001039N	442	D12S1090	D12S1090 hypervariable STR	30	2005-04-14	0.02
Koreans	PO000030D	SA001039N	442	D12S1090	D12S1090 hypervariable STR	22	2005-04-14	0.02
Koreans	PO000030D	SA001039N	442	D12S1090	D12S1090 hypervariable STR	16	2005-04-14	0.0
Koreans	PO000030D	SA001039N	442	D12S1090	D12S1090 hypervariable STR	13	2005-04-14	0.04
Koreans	PO000030D	SA001039N	442	D12S1090	D12S1090 hypervariable STR	15	2005-04-14	0.01
Koreans	PO000030D	SA001039N	442	D12S1090	D12S1090 hypervariable STR	24	2005-04-14	0.06
Koreans	PO000030D	SA001039N	442	D12S1090	D12S1090 hypervariable STR	23	2005-04-14	0.03
Koreans	PO000030D	SA001039N	442	D12S1090	D12S1090 hypervariable STR	9	2005-04-14	0.01
Koreans	PO000030D	SA001039N	442	D12S1090	D12S1090 hypervariable STR	11	2005-04-14	0.21
Koreans	PO000030D	SA001039N	442	D12S1090	D12S1090 hypervariable STR	14	2005-04-14	0.01
Koreans	PO000030D	SA001039N	442	D12S1090	D12S1090 hypervariable STR	10	2005-04-14	0.07
Koreans	PO000030D	SA001039N	442	D12S1090	D12S1090 hypervariable STR	26	2005-04-14	0.13
Koreans	PO000030D	SA001039N	442	D12S1090	D12S1090 hypervariable STR	27	2005-04-14	0.09
