popName	popUId	sampleUId	2N	locusSymbol	siteName	alleleSymbol	entryDate	frequency
Andalusian	PO000404I	SA001016I	252	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	13	2004-11-17	0.07
Andalusian	PO000404I	SA001016I	252	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	17.3	2004-11-17	0.14
Andalusian	PO000404I	SA001016I	252	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	17	2004-11-17	0.04
Andalusian	PO000404I	SA001016I	252	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	16	2004-11-17	0.09
Andalusian	PO000404I	SA001016I	252	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	10	2004-11-17	0.0
Andalusian	PO000404I	SA001016I	252	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	16.3	2004-11-17	0.06
Andalusian	PO000404I	SA001016I	252	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	15.3	2004-11-17	0.06
Andalusian	PO000404I	SA001016I	252	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	14	2004-11-17	0.09
Andalusian	PO000404I	SA001016I	252	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	12	2004-11-17	0.15
Andalusian	PO000404I	SA001016I	252	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	15	2004-11-17	0.18
Andalusian	PO000404I	SA001016I	252	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	11	2004-11-17	0.06
Andalusian	PO000404I	SA001016I	252	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	19.3	2004-11-17	0.02
Andalusian	PO000404I	SA001016I	252	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	18.3	2004-11-17	0.04
Croatian	PO000203F	SA001084N	334	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	18.3	2005-01-31	0.03
Croatian	PO000203F	SA001084N	334	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	17.3	2005-01-31	0.1
Croatian	PO000203F	SA001084N	334	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	18	2005-01-31	0.02
